Date : 2020-03-18 11:04:00
Directory : c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\
Total : 230 files,  39840 codes, 248 comments, 2945 blanks, all 43033 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\user-actions.js                                                                        | JavaScript       |         31 |          1 |          5 |         37 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\dashboards-reducer.js                                                                 | JavaScript       |         79 |          0 |          3 |         82 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\databases-reducers.js                                                                 | JavaScript       |         57 |          0 |          2 |         59 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\dbTables-reducers.js                                                                  | JavaScript       |         32 |          1 |          2 |         35 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\metrics-reducer.js                                                                    | JavaScript       |         50 |          1 |          2 |         53 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\panels-reducer.js                                                                     | JavaScript       |         69 |          1 |          4 |         74 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\queryData-reducer.js                                                                  | JavaScript       |          3 |          0 |          0 |          3 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\tempPanelOptions-reducer.js                                                           | JavaScript       |         11 |          0 |          1 |         12 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\tempProperties-reducer.js                                                             | JavaScript       |         11 |          0 |          1 |         12 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\user-reducer.js                                                                       | JavaScript       |         44 |          0 |          4 |         48 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\store\store.js                                                                                 | JavaScript       |         43 |          1 |          4 |         48 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\settings\typeOptions.js                                                                                       | JavaScript       |          7 |          0 |          0 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\setupTests.js                                                                                                 | JavaScript       |         13 |          0 |          3 |         16 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\Breadcrumbs.js                                                                         | JavaScript       |         48 |          0 |          3 |         51 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\Breadcrumbs.test.js                                                                    | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\package.json                                                                           | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\Cards.js                                                                                     | JavaScript       |        408 |          0 |          9 |        417 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\Cards.test.js                                                                                | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\package.json                                                                                 | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\Carousels.js                                                                             | JavaScript       |        111 |          0 |         13 |        124 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\Carousels.test.js                                                                        | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Carousels\package.json                                                                             | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\Collapses.js                                                                             | JavaScript       |        214 |          0 |         17 |        231 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\Collapses.test.js                                                                        | JavaScript       |         71 |          0 |          3 |         74 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Collapses\package.json                                                                             | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\Dropdowns.js                                                                             | JavaScript       |        163 |          0 |          6 |        169 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\Dropdowns.test.js                                                                        | JavaScript       |         26 |          0 |          2 |         28 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Dropdowns\package.json                                                                             | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\Forms.js                                                                                     | JavaScript       |      1,155 |          0 |          7 |      1,162 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\Forms.test.js                                                                                | JavaScript       |         37 |          0 |          3 |         40 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Forms\package.json                                                                                 | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\Jumbotrons.js                                                                           | JavaScript       |         53 |          0 |          4 |         57 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\Jumbotrons.test.js                                                                      | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Jumbotrons\package.json                                                                            | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ListGroups\ListGroups.js                                                                           | JavaScript       |        224 |          0 |          7 |        231 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ListGroups\ListGroups.test.js                                                                      | JavaScript       |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ListGroups\package.json                                                                            | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navbars\Navbars.js                                                                                 | JavaScript       |        111 |          0 |          7 |        118 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navbars\Navbars.test.js                                                                            | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navbars\package.json                                                                               | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navs\Navs.js                                                                                       | JavaScript       |        153 |          0 |          6 |        159 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navs\Navs.test.js                                                                                  | JavaScript       |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Navs\package.json                                                                                  | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Paginations\Paginations.test.js                                                                    | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Paginations\Pagnations.js                                                                          | JavaScript       |        174 |          0 |          4 |        178 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Paginations\package.json                                                                           | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Popovers\Popovers.js                                                                               | JavaScript       |         98 |          0 |         11 |        109 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Popovers\Popovers.test.js                                                                          | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Popovers\package.json                                                                              | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ProgressBar\ProgressBar.js                                                                         | JavaScript       |        163 |          0 |          4 |        167 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ProgressBar\ProgressBar.test.js                                                                    | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\ProgressBar\package.json                                                                           | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Switches\Switches.js                                                                               | JavaScript       |        483 |          0 |         12 |        495 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Switches\Switches.test.js                                                                          | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Switches\package.json                                                                              | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tables\Tables.js                                                                                   | JavaScript       |        384 |          0 |         10 |        394 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tables\Tables.test.js                                                                              | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tables\package.json                                                                                | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tabs\Tabs.js                                                                                       | JavaScript       |        175 |          0 |          9 |        184 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tabs\Tabs.test.js                                                                                  | JavaScript       |         20 |          0 |          2 |         22 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tabs\package.json                                                                                  | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tooltips\Tooltips.js                                                                               | JavaScript       |        124 |          0 |         11 |        135 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tooltips\Tooltips.test.js                                                                          | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Tooltips\package.json                                                                              | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\index.js                                                                                           | JavaScript       |         20 |          0 |          3 |         23 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\BrandButtons\BrandButtons.js                                                                    | JavaScript       |        319 |          0 |          6 |        325 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\BrandButtons\BrandButtons.test.js                                                               | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\BrandButtons\package.json                                                                       | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonDropdowns\ButtonDropdowns.js                                                              | JavaScript       |        284 |          0 |          7 |        291 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonDropdowns\ButtonDropdowns.test.js                                                         | JavaScript       |         18 |          0 |          3 |         21 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonDropdowns\package.json                                                                    | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonGroups\ButtonGroups.js                                                                    | JavaScript       |        186 |          0 |          7 |        193 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonGroups\ButtonGroups.test.js                                                               | JavaScript       |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\ButtonGroups\package.json                                                                       | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\Buttons\Buttons.js                                                                              | JavaScript       |        667 |          0 |          3 |        670 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\Buttons\Buttons.test.js                                                                         | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\Buttons\package.json                                                                            | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Buttons\index.js                                                                                        | JavaScript       |          7 |          0 |          2 |          9 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Charts\Charts.js                                                                                        | JavaScript       |        246 |          0 |         10 |        256 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Charts\Charts.test.js                                                                                   | JavaScript       |         16 |          0 |          2 |         18 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Charts\package.json                                                                                     | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Dashboard\Dashboard.js                                                                                  | JavaScript       |      1,078 |          8 |         44 |      1,130 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Dashboard\Dashboard.test.js                                                                             | JavaScript       |          1 |         16 |          5 |         22 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Dashboard\package.json                                                                                  | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\CoreUIIcons\CoreUIIcons.js                                                                        | JavaScript       |        425 |          0 |          4 |        429 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\CoreUIIcons\CoreUIIcons.test.js                                                                   | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\CoreUIIcons\package.json                                                                          | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\Flags\Flags.js                                                                                    | JavaScript       |      1,020 |          0 |          3 |      1,023 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\Flags\Flags.test.js                                                                               | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\Flags\package.json                                                                                | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\FontAwesome\FontAwesome.js                                                                        | JavaScript       |      2,839 |          0 |        864 |      3,703 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\FontAwesome\FontAwesome.test.js                                                                   | JavaScript       |          8 |          0 |          1 |          9 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\FontAwesome\package.json                                                                          | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\SimpleLineIcons\SimpleLineIcons.js                                                                | JavaScript       |        569 |          0 |        187 |        756 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\SimpleLineIcons\SimpleLineIcons.test.js                                                           | JavaScript       |          8 |          0 |          1 |          9 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\SimpleLineIcons\package.json                                                                      | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Icons\index.js                                                                                          | JavaScript       |          7 |          0 |          2 |          9 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Alerts\Alerts.js                                                                          | JavaScript       |        140 |          0 |          7 |        147 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Alerts\Alerts.test.js                                                                     | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Alerts\package.json                                                                       | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Badges\Badges.js                                                                          | JavaScript       |         85 |          0 |          3 |         88 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Badges\Badges.test.js                                                                     | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Badges\package.json                                                                       | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Modals\Modals.js                                                                          | JavaScript       |        211 |          0 |         23 |        234 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Modals\Modals.test.js                                                                     | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\Modals\package.json                                                                       | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Notifications\index.js                                                                                  | JavaScript       |          6 |          0 |          2 |          8 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Login\Login.js                                                                                    | JavaScript       |         93 |          0 |         13 |        106 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Login\Login.test.js                                                                               | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Login\package.json                                                                                | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page404\Page404.js                                                                                | JavaScript       |         33 |          0 |          3 |         36 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page404\Page404.test.js                                                                           | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page404\package.json                                                                              | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page500\Page500.js                                                                                | JavaScript       |         33 |          0 |          3 |         36 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page500\Page500.test.js                                                                           | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Page500\package.json                                                                              | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Register\Register.js                                                                              | JavaScript       |         66 |          0 |          3 |         69 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Register\Register.test.js                                                                         | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\Register\package.json                                                                             | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Pages\index.js                                                                                          | JavaScript       |          7 |          0 |          1 |          8 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Colors\Colors.js                                                                                  | JavaScript       |        169 |          4 |         12 |        185 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Colors\Colors.test.js                                                                             | JavaScript       |          6 |          0 |          2 |          8 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Colors\package.json                                                                               | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Typography\Typography.js                                                                          | JavaScript       |        164 |          0 |          7 |        171 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Typography\Typography.test.js                                                                     | JavaScript       |          8 |          0 |          1 |          9 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\Typography\package.json                                                                           | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Theme\index.js                                                                                          | JavaScript       |          5 |          0 |          1 |          6 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\User.js                                                                                           | JavaScript       |         39 |          0 |          8 |         47 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\User.test.js                                                                                      | JavaScript       |         13 |          0 |          3 |         16 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\Users.js                                                                                          | JavaScript       |         61 |          0 |         10 |         71 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\Users.test.js                                                                                     | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\UsersData.js                                                                                      | JavaScript       |         30 |          0 |          2 |         32 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Users\package.json                                                                                      | JSON             |          6 |          0 |          1 |          7 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Widgets\Widget01.js                                                                                     | JavaScript       |         52 |          2 |         10 |         64 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Widgets\Widget02.js                                                                                     | JavaScript       |         64 |          1 |         11 |         76 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Widgets\Widget03.js                                                                                     | JavaScript       |         52 |          2 |         12 |         66 |
| c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Widgets\Widget04.js                                                                                     | JavaScript       |         53 |          1 |          9 |         63 |
